"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2015","821.43","822.17","822.96","814.26","539.94M","0.52%"
"11/13/2015","818.79","821.27","822.92","816.25","559.75M","-0.32%"
"11/16/2015","810.46","815.81","818.22","810.19","464.24M","-1.02%"
"11/17/2015","811.53","813.26","818.58","811.53","535.42M","0.13%"
"11/18/2015","805.14","810.64","814.76","803.36","506.16M","-0.79%"
"11/19/2015","804.41","808.60","811.18","801.86","512.30M","-0.09%"
"11/20/2015","806.82","803.98","811.22","803.85","446.00M","0.30%"
"11/23/2015","797.45","806.53","807.84","797.45","414.07M","-1.16%"
"11/24/2015","762.43","798.69","800.08","760.96","1.04B","-4.39%"
"11/25/2015","768.37","765.70","769.75","755.21","826.09M","0.78%"
"11/26/2015","749.98","766.25","766.90","749.93","633.41M","-2.39%"
"11/27/2015","756.38","748.24","765.23","748.24","683.04M","0.85%"
"11/30/2015","752.33","756.38","765.35","750.97","502.92M","-0.54%"
"12/01/2015","767.85","752.33","767.85","752.33","674.36M","2.06%"
"12/02/2015","763.95","767.85","777.67","762.46","778.78M","-0.51%"
"12/03/2015","754.53","763.95","771.41","753.92","626.28M","-1.23%"
"12/04/2015","742.65","754.53","758.88","733.71","763.35M","-1.57%"
"12/07/2015","739.09","742.65","745.34","733.55","608.75M","-0.48%"
"12/08/2015","731.01","739.09","742.04","729.55","580.91M","-1.09%"
"12/09/2015","745.84","731.01","747.32","729.48","639.81M","2.03%"
"12/10/2015","723.54","745.84","752.37","720.13","868.16M","-2.99%"
"12/11/2015","702.80","723.54","725.12","702.80","887.87M","-2.87%"
"12/14/2015","693.09","702.80","716.96","691.91","741.43M","-1.38%"
"12/15/2015","721.57","693.09","723.92","693.09","846.22M","4.11%"
"12/16/2015","728.32","721.57","728.88","713.97","816.55M","0.94%"
"12/17/2015","737.12","728.32","741.79","728.23","895.42M","1.21%"
"12/18/2015","724.60","737.12","737.12","722.03","684.00M","-1.70%"
"12/21/2015","733.28","724.60","737.81","724.60","677.06M","1.20%"
"12/22/2015","731.02","733.28","733.80","722.21","772.51M","-0.31%"
"12/23/2015","740.45","731.02","744.99","731.02","666.21M","1.29%"
"12/24/2015","740.50","740.45","743.94","738.65","423.30M","0.01%"
"12/25/2015","741.90","740.50","742.28","739.95","217.98M","0.19%"
"12/28/2015","742.43","741.90","749.54","741.90","557.03M","0.07%"
"12/29/2015","739.13","742.43","745.28","736.93","546.96M","-0.44%"
"12/30/2015","732.01","739.13","740.05","730.65","420.06M","-0.96%"
"12/31/2015","717.27","732.01","733.72","714.34","441.32M","-2.01%"
"01/04/2016","705.18","717.27","717.27","698.80","487.22M","-1.69%"
"01/05/2016","706.88","705.18","712.53","693.96","678.65M","0.24%"
"01/06/2016","711.98","706.88","712.67","697.13","796.18M","0.72%"
"01/07/2016","714.96","711.98","716.40","696.88","891.37M","0.42%"
"01/08/2016","706.13","714.96","721.32","704.08","728.24M","-1.24%"
"01/11/2016","710.49","703.97","716.22","701.12","683.81M","0.62%"
"01/12/2016","717.40","710.33","721.00","705.16","863.73M","0.97%"
"01/13/2016","725.09","721.06","730.11","720.30","797.33M","1.07%"
"01/14/2016","719.41","722.06","726.51","713.09","808.61M","-0.78%"
"01/15/2016","710.62","719.84","722.75","706.28","736.98M","-1.22%"
